mutation,kind,expected,iss_detected,status,first_mismatch
TRACE_WRONG_NEXT_PC,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 0: next PC 0x00000000, expected 0x00000004"
TRACE_WRONG_RD_VALUE,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 0: rd value 0x00004001, expected 0x00004000"
TRACE_WRONG_MEMORY_MASK,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 10: store mask 0x0, expected 0xf"
TRACE_WRONG_MCAUSE,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 98: mcause 1, expected 5"
TRACE_WRONG_INSTRUCTION,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 0: instruction 0x00005117, image has 0x00004117"
TRACE_WRONG_MEMORY_DATA,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 60: load source 0x55aa33c4, expected modeled memory 0x55aa33c5"
TRACE_WRONG_CSR_SNAPSHOT,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 0: CSR 0x300=0xffffffff, expected 0x00000000"
TRACE_WRONG_RESET_EPOCH,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 3: retirement order 3, expected 0"
TRACE_DUPLICATE_RETIREMENT,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 1: retirement order 1, expected 2"
TRACE_DROPPED_RETIREMENT,TRACE_CHECKER_SELF_TEST,ISS_MISMATCH,1,PASS,"order 3: retirement order 3, expected 2"
