coverage_point,hit,tests
apb_read,1,"dma_smoke,dma_back_to_back,crypto_only_reject,apb_wait_error,sleep_resume,irq_pending_then_enable,queue_full_reject,completion_fifo_stall,timeout_error,parity_source_error,deep_sleep_invalid_source,apb_reset_mid_wait"
apb_write,1,"dma_smoke,dma_back_to_back,crypto_only_reject,sleep_resume,irq_pending_then_enable,queue_full_reject,completion_fifo_stall,timeout_error,parity_source_error,deep_sleep_invalid_source,apb_reset_mid_wait"
apb_zero_wait,1,"dma_smoke,dma_back_to_back,crypto_only_reject,sleep_resume,irq_pending_then_enable,queue_full_reject,completion_fifo_stall,timeout_error,parity_source_error,deep_sleep_invalid_source"
apb_wait_read,1,"apb_wait_error,sleep_resume,apb_reset_mid_wait"
apb_wait_write,1,"deep_sleep_invalid_source,apb_reset_mid_wait"
apb_range_error,1,apb_wait_error
apb_unaligned_error,1,apb_wait_error
apb_reset_recovery,1,apb_reset_mid_wait
fw_polling,1,"dma_smoke,sleep_resume,irq_pending_then_enable,apb_reset_mid_wait"
fw_doorbell,1,"dma_smoke,dma_back_to_back,crypto_only_reject,sleep_resume,irq_pending_then_enable,queue_full_reject,completion_fifo_stall,timeout_error,parity_source_error,deep_sleep_invalid_source,apb_reset_mid_wait"
fw_completion_read,1,"dma_smoke,dma_back_to_back,sleep_resume,irq_pending_then_enable,queue_full_reject,completion_fifo_stall,timeout_error,parity_source_error,deep_sleep_invalid_source,apb_reset_mid_wait"
fw_completion_pop,1,"dma_smoke,dma_back_to_back,sleep_resume,irq_pending_then_enable,completion_fifo_stall,timeout_error,parity_source_error,deep_sleep_invalid_source,apb_reset_mid_wait"
fw_irq_masked,1,"crypto_only_reject,irq_pending_then_enable,queue_full_reject,completion_fifo_stall,parity_source_error,deep_sleep_invalid_source"
fw_irq_pending_enable,1,irq_pending_then_enable
fw_ordered_tags,1,"dma_back_to_back,completion_fifo_stall"
fw_bus_error,1,apb_wait_error
dma_success,1,"dma_smoke,dma_back_to_back,sleep_resume,irq_pending_then_enable,completion_fifo_stall,apb_reset_mid_wait"
dma_two_in_order,1,"dma_back_to_back,completion_fifo_stall"
dma_queue_full_reject,1,queue_full_reject
dma_blocked_reject,1,crypto_only_reject
dma_timeout,1,timeout_error
dma_parity_error,1,parity_source_error
dma_invalid_error,1,deep_sleep_invalid_source
cross_run_success,1,"dma_smoke,dma_back_to_back,sleep_resume,irq_pending_then_enable,completion_fifo_stall,apb_reset_mid_wait"
cross_run_timeout,1,timeout_error
cross_run_parity,1,parity_source_error
cross_crypto_reject,1,crypto_only_reject
cross_sleep_resume,1,sleep_resume
cross_deep_invalid,1,deep_sleep_invalid_source
cross_wait_no_retire,1,"apb_wait_error,sleep_resume,deep_sleep_invalid_source,apb_reset_mid_wait"
