test,status,returncode,cycles,mmio_reads,mmio_writes,wait_cycles,bus_errors,doorbells,accepted,completions,rejects,successes,runtime_errors,assertion_failures,memory_mismatches,firmware_hex,coverage_csv,log,coverage_dat
dma_smoke,PASS,0,210,15,8,0,0,1,1,1,0,1,0,0,0,chiplet_extension/build/firmware_soc/firmware/dma_smoke.hex,chiplet_extension/build/firmware_soc/coverage/dma_smoke.csv,chiplet_extension/build/firmware_soc/logs/dma_smoke.log,
dma_back_to_back,PASS,0,263,17,13,0,0,2,2,2,0,2,0,0,0,chiplet_extension/build/firmware_soc/firmware/dma_back_to_back.hex,chiplet_extension/build/firmware_soc/coverage/dma_back_to_back.csv,chiplet_extension/build/firmware_soc/logs/dma_back_to_back.log,
crypto_only_reject,PASS,0,71,1,5,0,0,1,0,1,1,0,0,0,0,chiplet_extension/build/firmware_soc/firmware/crypto_only_reject.hex,chiplet_extension/build/firmware_soc/coverage/crypto_only_reject.csv,chiplet_extension/build/firmware_soc/logs/crypto_only_reject.log,
apb_wait_error,PASS,0,50,3,0,9,2,0,0,0,0,0,0,0,0,chiplet_extension/build/firmware_soc/firmware/apb_wait_error.hex,chiplet_extension/build/firmware_soc/coverage/apb_wait_error.csv,chiplet_extension/build/firmware_soc/logs/apb_wait_error.log,
sleep_resume,PASS,0,227,16,7,23,0,1,1,1,0,1,0,0,0,chiplet_extension/build/firmware_soc/firmware/sleep_resume.hex,chiplet_extension/build/firmware_soc/coverage/sleep_resume.csv,chiplet_extension/build/firmware_soc/logs/sleep_resume.log,
irq_pending_then_enable,PASS,0,212,15,9,0,0,1,1,1,0,1,0,0,0,chiplet_extension/build/firmware_soc/firmware/irq_pending_then_enable.hex,chiplet_extension/build/firmware_soc/coverage/irq_pending_then_enable.csv,chiplet_extension/build/firmware_soc/logs/irq_pending_then_enable.log,
queue_full_reject,PASS,0,247,3,25,0,0,6,5,1,1,0,0,0,0,chiplet_extension/build/firmware_soc/firmware/queue_full_reject.hex,chiplet_extension/build/firmware_soc/coverage/queue_full_reject.csv,chiplet_extension/build/firmware_soc/logs/queue_full_reject.log,
completion_fifo_stall,PASS,0,597,36,26,0,0,5,5,5,0,5,0,0,0,chiplet_extension/build/firmware_soc/firmware/completion_fifo_stall.hex,chiplet_extension/build/firmware_soc/coverage/completion_fifo_stall.csv,chiplet_extension/build/firmware_soc/logs/completion_fifo_stall.log,
timeout_error,PASS,0,1124,131,7,0,0,1,1,1,0,0,1,0,0,chiplet_extension/build/firmware_soc/firmware/timeout_error.hex,chiplet_extension/build/firmware_soc/coverage/timeout_error.csv,chiplet_extension/build/firmware_soc/logs/timeout_error.log,
parity_source_error,PASS,0,120,3,8,0,0,1,1,1,0,0,1,0,0,chiplet_extension/build/firmware_soc/firmware/parity_source_error.hex,chiplet_extension/build/firmware_soc/coverage/parity_source_error.csv,chiplet_extension/build/firmware_soc/logs/parity_source_error.log,
deep_sleep_invalid_source,PASS,0,112,3,6,20,0,1,1,1,0,0,1,0,0,chiplet_extension/build/firmware_soc/firmware/deep_sleep_invalid_source.hex,chiplet_extension/build/firmware_soc/coverage/deep_sleep_invalid_source.csv,chiplet_extension/build/firmware_soc/logs/deep_sleep_invalid_source.log,
apb_reset_mid_wait,PASS,0,220,10,7,51,0,1,1,1,0,1,0,0,0,chiplet_extension/build/firmware_soc/firmware/apb_reset_mid_wait.hex,chiplet_extension/build/firmware_soc/coverage/apb_reset_mid_wait.csv,chiplet_extension/build/firmware_soc/logs/apb_reset_mid_wait.log,
