suite,status,applicable_tests,detail,failure_kind,mailbox_status,failing_address,register,expected,observed,trace
I-add-00,PASS,1,self_checking_mailbox_pass,,00000001,00005db0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0000_I-add-00.rvfi.csv
I-addi-00,PASS,1,self_checking_mailbox_pass,,00000001,00004d70,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0001_I-addi-00.rvfi.csv
I-and-00,PASS,1,self_checking_mailbox_pass,,00000001,00005dd0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0002_I-and-00.rvfi.csv
I-andi-00,PASS,1,self_checking_mailbox_pass,,00000001,00004d90,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0003_I-andi-00.rvfi.csv
I-auipc-00,PASS,1,self_checking_mailbox_pass,,00000001,00002010,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0004_I-auipc-00.rvfi.csv
I-beq-00,PASS,1,self_checking_mailbox_pass,,00000001,0000c030,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0005_I-beq-00.rvfi.csv
I-bge-00,PASS,1,self_checking_mailbox_pass,,00000001,0000c030,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0006_I-bge-00.rvfi.csv
I-bgeu-00,PASS,1,self_checking_mailbox_pass,,00000001,0000c030,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0007_I-bgeu-00.rvfi.csv
I-blt-00,PASS,1,self_checking_mailbox_pass,,00000001,0000c030,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0008_I-blt-00.rvfi.csv
I-bltu-00,PASS,1,self_checking_mailbox_pass,,00000001,0000c030,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0009_I-bltu-00.rvfi.csv
I-bne-00,PASS,1,self_checking_mailbox_pass,,00000001,0000c030,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0010_I-bne-00.rvfi.csv
I-fence-00,PASS,1,self_checking_mailbox_pass,,00000001,00001990,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0011_I-fence-00.rvfi.csv
I-jal-00,PASS,1,self_checking_mailbox_pass,,00000001,00024030,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0012_I-jal-00.rvfi.csv
I-jalr-00,PASS,1,self_checking_mailbox_pass,,00000001,000054f0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0013_I-jalr-00.rvfi.csv
I-lb-00,PASS,1,self_checking_mailbox_pass,,00000001,00002d70,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0014_I-lb-00.rvfi.csv
I-lbu-00,PASS,1,self_checking_mailbox_pass,,00000001,00002d70,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0015_I-lbu-00.rvfi.csv
I-lh-00,PASS,1,self_checking_mailbox_pass,,00000001,00002bf0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0016_I-lh-00.rvfi.csv
I-lhu-00,PASS,1,self_checking_mailbox_pass,,00000001,00002bf0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0017_I-lhu-00.rvfi.csv
I-lui-00,PASS,1,self_checking_mailbox_pass,,00000001,00001ff0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0018_I-lui-00.rvfi.csv
I-lw-00,PASS,1,self_checking_mailbox_pass,,00000001,00002b30,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0019_I-lw-00.rvfi.csv
I-nop-00,PASS,1,self_checking_mailbox_pass,,00000001,00001970,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0020_I-nop-00.rvfi.csv
I-or-00,PASS,1,self_checking_mailbox_pass,,00000001,00005d90,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0021_I-or-00.rvfi.csv
I-ori-00,PASS,1,self_checking_mailbox_pass,,00000001,00004d90,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0022_I-ori-00.rvfi.csv
I-sb-00,PASS,1,self_checking_mailbox_pass,,00000001,000030b0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0023_I-sb-00.rvfi.csv
I-sh-00,PASS,1,self_checking_mailbox_pass,,00000001,00002f90,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0024_I-sh-00.rvfi.csv
I-sll-00,PASS,1,self_checking_mailbox_pass,,00000001,00005d90,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0025_I-sll-00.rvfi.csv
I-slli-00,PASS,1,self_checking_mailbox_pass,,00000001,000035f0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0026_I-slli-00.rvfi.csv
I-slt-00,PASS,1,self_checking_mailbox_pass,,00000001,00005db0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0027_I-slt-00.rvfi.csv
I-slti-00,PASS,1,self_checking_mailbox_pass,,00000001,00004d70,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0028_I-slti-00.rvfi.csv
I-sltiu-00,PASS,1,self_checking_mailbox_pass,,00000001,00004d70,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0029_I-sltiu-00.rvfi.csv
I-sltu-00,PASS,1,self_checking_mailbox_pass,,00000001,00005db0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0030_I-sltu-00.rvfi.csv
I-sra-00,PASS,1,self_checking_mailbox_pass,,00000001,00005db0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0031_I-sra-00.rvfi.csv
I-srai-00,PASS,1,self_checking_mailbox_pass,,00000001,000035f0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0032_I-srai-00.rvfi.csv
I-srl-00,PASS,1,self_checking_mailbox_pass,,00000001,00005db0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0033_I-srl-00.rvfi.csv
I-srli-00,PASS,1,self_checking_mailbox_pass,,00000001,000035d0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0034_I-srli-00.rvfi.csv
I-sub-00,PASS,1,self_checking_mailbox_pass,,00000001,00005d90,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0035_I-sub-00.rvfi.csv
I-sw-00,PASS,1,self_checking_mailbox_pass,,00000001,00002ef0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0036_I-sw-00.rvfi.csv
I-xor-00,PASS,1,self_checking_mailbox_pass,,00000001,00005db0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0037_I-xor-00.rvfi.csv
I-xori-00,PASS,1,self_checking_mailbox_pass,,00000001,00004d90,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0038_I-xori-00.rvfi.csv
Zicsr-csrrc-00,PASS,1,self_checking_mailbox_pass,,00000001,000039d0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0039_Zicsr-csrrc-00.rvfi.csv
Zicsr-csrrci-00,PASS,1,self_checking_mailbox_pass,,00000001,00002a70,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0040_Zicsr-csrrci-00.rvfi.csv
Zicsr-csrrs-00,PASS,1,self_checking_mailbox_pass,,00000001,000039d0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0041_Zicsr-csrrs-00.rvfi.csv
Zicsr-csrrsi-00,PASS,1,self_checking_mailbox_pass,,00000001,00002a70,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0042_Zicsr-csrrsi-00.rvfi.csv
Zicsr-csrrw-00,PASS,1,self_checking_mailbox_pass,,00000001,000039d0,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0043_Zicsr-csrrw-00.rvfi.csv
Zicsr-csrrwi-00,PASS,1,self_checking_mailbox_pass,,00000001,00002a70,NA,PASS_MAILBOX=00000001,00000001,chiplet_extension/build/act4/act4_0044_Zicsr-csrrwi-00.rvfi.csv
