coverage_point,hit,hit_count,first_test,contributors,evidence
timer_mtime_low_access,1,7,external_timer_priority,external_timer_priority;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
timer_mtime_high_access,1,7,external_timer_priority,external_timer_priority;timer_compare_future;timer_counter_arch_edges;timer_during_apb_wait;timer_mask_pending_enable;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
timer_mtimecmp_low_access,1,6,external_timer_priority,external_timer_priority;timer_compare_future;timer_during_apb_wait;timer_mask_pending_enable;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
timer_mtimecmp_high_access,1,6,external_timer_priority,external_timer_priority;timer_compare_future;timer_during_apb_wait;timer_mask_pending_enable;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
timer_compare_future,1,1,timer_compare_future,timer_compare_future,RVFI_APB_EVENT_WINDOW
timer_compare_past,1,1,timer_compare_future,timer_compare_future,RVFI_APB_EVENT_WINDOW
timer_masked_pending_enable,1,1,timer_mask_pending_enable,timer_mask_pending_enable,RVFI_APB_EVENT_WINDOW
timer_pending_during_apb_wait,1,1,timer_during_apb_wait,timer_during_apb_wait,RVFI_APB_EVENT_WINDOW
interrupt_external_before_timer,1,1,external_timer_priority,external_timer_priority,RVFI_APB_EVENT_WINDOW
wfi_retires_once,1,3,wfi_external_wake,wfi_external_wake;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
wfi_blocks_retirement,1,3,wfi_external_wake,wfi_external_wake;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
wfi_timer_wake,1,1,wfi_timer_wake,wfi_timer_wake,RVFI_APB_EVENT_WINDOW
wfi_external_wake,1,1,wfi_external_wake,wfi_external_wake,RVFI_APB_EVENT_WINDOW
wfi_sleep_restore,1,1,wfi_sleep_wake,wfi_sleep_wake,RVFI_APB_EVENT_WINDOW
counter_mcycle_rollover,1,1,counter_rollover,counter_rollover,RVFI_APB_EVENT_WINDOW
counter_minstret_rollover,1,1,counter_rollover,counter_rollover,RVFI_APB_EVENT_WINDOW
