cross,hit,hit_count,first_test,contributors,evidence
timer_source__active,1,6,external_timer_priority,external_timer_priority;timer_compare_future;timer_during_apb_wait;timer_mask_pending_enable;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
timer_source__wfi,1,1,wfi_timer_wake,wfi_timer_wake,RVFI_APB_EVENT_WINDOW
external_source__active,1,1,external_timer_priority,external_timer_priority,RVFI_APB_EVENT_WINDOW
external_source__wfi,1,1,wfi_external_wake,wfi_external_wake,RVFI_APB_EVENT_WINDOW
timer_pending__masked,1,1,timer_mask_pending_enable,timer_mask_pending_enable,RVFI_APB_EVENT_WINDOW
timer_pending__enabled,1,6,external_timer_priority,external_timer_priority;timer_compare_future;timer_during_apb_wait;timer_mask_pending_enable;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
timer_irq__apb_idle,1,6,external_timer_priority,external_timer_priority;timer_compare_future;timer_during_apb_wait;timer_mask_pending_enable;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
timer_irq__apb_wait,1,1,timer_during_apb_wait,timer_during_apb_wait,RVFI_APB_EVENT_WINDOW
wfi_timer__run,1,1,wfi_timer_wake,wfi_timer_wake,RVFI_APB_EVENT_WINDOW
wfi_timer__sleep,1,1,wfi_sleep_wake,wfi_sleep_wake,RVFI_APB_EVENT_WINDOW
priority__external_over_timer,1,1,external_timer_priority,external_timer_priority,RVFI_APB_EVENT_WINDOW
mcycle__read,1,2,counter_rollover,counter_rollover;firmware_latency_counters,RVFI_APB_EVENT_WINDOW
mcycle__write,1,2,counter_rollover,counter_rollover;firmware_latency_counters,RVFI_APB_EVENT_WINDOW
mcycle__rollover,1,1,counter_rollover,counter_rollover,RVFI_APB_EVENT_WINDOW
minstret__read,1,3,counter_rollover,counter_rollover;firmware_latency_counters;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
minstret__write,1,3,counter_rollover,counter_rollover;firmware_latency_counters;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
minstret__rollover,1,1,counter_rollover,counter_rollover,RVFI_APB_EVENT_WINDOW
interrupt_timing__retire_boundary,1,6,external_timer_priority,external_timer_priority;timer_compare_future;timer_during_apb_wait;timer_mask_pending_enable;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
interrupt_timing__apb_wait,1,1,timer_during_apb_wait,timer_during_apb_wait,RVFI_APB_EVENT_WINDOW
interrupt_timing__wfi,1,3,wfi_external_wake,wfi_external_wake;wfi_sleep_wake;wfi_timer_wake,RVFI_APB_EVENT_WINDOW
interrupt_timing__sleep,1,1,wfi_sleep_wake,wfi_sleep_wake,RVFI_APB_EVENT_WINDOW
firmware_latency__dma_irq,1,1,firmware_latency_counters,firmware_latency_counters,RVFI_APB_EVENT_WINDOW
