metric,category,hit_runs,total_runs,covered,total_bins,sum_value,max_value,tests_hit
__overall__,summary,16,4,16,60,26.7,16,
link_reset,link_fsm,4,4,1,1,4,1,uvm_axi_lite_ral_smoke_test;uvm_dma_queue_smoke_test;uvm_power_sleep_resume_test;uvm_prbs_smoke_test
link_train,link_fsm,4,4,1,1,64,16,uvm_axi_lite_ral_smoke_test;uvm_dma_queue_smoke_test;uvm_power_sleep_resume_test;uvm_prbs_smoke_test
link_active,link_fsm,4,4,1,1,4938,4171,uvm_axi_lite_ral_smoke_test;uvm_dma_queue_smoke_test;uvm_power_sleep_resume_test;uvm_prbs_smoke_test
link_retrain,link_fsm,0,4,0,1,0,0,
link_degraded,link_fsm,0,4,0,1,0,0,
link_recoveries,link_fsm,0,4,0,1,0,0,
credit_zero,credits,0,4,0,1,0,0,
credit_low,credits,0,4,0,1,0,0,
credit_mid,credits,0,4,0,1,0,0,
credit_high,credits,4,4,1,1,5006,4188,uvm_axi_lite_ral_smoke_test;uvm_dma_queue_smoke_test;uvm_power_sleep_resume_test;uvm_prbs_smoke_test
backpressure,backpressure,2,4,1,1,525,428,uvm_power_sleep_resume_test;uvm_prbs_smoke_test
crc_error,retry_fault,0,4,0,1,0,0,
resend_request,retry_fault,0,4,0,1,0,0,
lane_fault,retry_fault,0,4,0,1,0,0,
retry_backpressure_cross,backpressure,0,4,0,1,0,0,
latency_low,latency,3,4,1,1,54,48,uvm_axi_lite_ral_smoke_test;uvm_power_sleep_resume_test;uvm_prbs_smoke_test
latency_nominal,latency,0,4,0,1,0,0,
latency_high,latency,0,4,0,1,0,0,
e2e_updates,end_to_end,3,4,1,1,143,112,uvm_axi_lite_ral_smoke_test;uvm_power_sleep_resume_test;uvm_prbs_smoke_test
e2e_mismatch,end_to_end,0,4,0,1,0,0,
expected_empty,end_to_end,0,4,0,1,0,0,
power_reset_proxy,power,0,4,0,1,0,0,
power_idle_proxy,power,4,4,1,1,4440,4188,uvm_axi_lite_ral_smoke_test;uvm_dma_queue_smoke_test;uvm_power_sleep_resume_test;uvm_prbs_smoke_test
dma_submit_occ_0,dma_queue,2,4,1,1,4347,4188,uvm_axi_lite_ral_smoke_test;uvm_dma_queue_smoke_test
dma_submit_occ_1,dma_queue,1,4,1,1,1,1,uvm_axi_lite_ral_smoke_test
dma_submit_occ_23,dma_queue,0,4,0,1,0,0,
dma_submit_occ_4,dma_queue,0,4,0,1,0,0,
dma_comp_occ_0,dma_queue,2,4,1,1,4342,4188,uvm_axi_lite_ral_smoke_test;uvm_dma_queue_smoke_test
dma_comp_occ_1,dma_queue,1,4,1,1,6,6,uvm_axi_lite_ral_smoke_test
dma_comp_occ_23,dma_queue,0,4,0,1,0,0,
dma_comp_occ_4,dma_queue,0,4,0,1,0,0,
dma_submit_accept,dma_queue,1,4,1,1,1,1,uvm_axi_lite_ral_smoke_test
dma_reject_odd,dma_error,0,4,0,1,0,0,
dma_reject_range,dma_error,0,4,0,1,0,0,
dma_reject_qfull,dma_error,0,4,0,1,0,0,
dma_reject_blocked,dma_error,0,4,0,1,0,0,
dma_reject_overflow,dma_error,0,4,0,1,0,0,
dma_submit_head_wrap,dma_queue,0,4,0,1,0,0,
dma_submit_tail_wrap,dma_queue,0,4,0,1,0,0,
dma_comp_head_wrap,dma_queue,0,4,0,1,0,0,
dma_comp_tail_wrap,dma_queue,0,4,0,1,0,0,
dma_active_present,dma_queue,1,4,1,1,120,120,uvm_axi_lite_ral_smoke_test
dma_multi_queued,dma_queue,0,4,0,1,0,0,
dma_comp_success,dma_completion,1,4,1,1,1,1,uvm_axi_lite_ral_smoke_test
dma_comp_runtime_error,dma_completion,0,4,0,1,0,0,
dma_comp_submit_reject,dma_completion,0,4,0,1,0,0,
dma_retire_stall,dma_queue,0,4,0,1,0,0,
dma_queue_drain_full_to_empty,dma_queue,0,4,0,1,0,0,
dma_completion_under_retry,dma_interaction,0,4,0,1,0,0,
dma_completion_after_recovery,dma_interaction,0,4,0,1,0,0,
dma_completion_after_sleep_resume,dma_interaction,0,4,0,1,0,0,
mem_src_conflict,memory,0,4,0,1,0,0,
mem_dst_conflict,memory,0,4,0,1,0,0,
mem_wait,memory,0,4,0,1,0,0,
mem_parity_maint,memory,0,4,0,1,0,0,
mem_parity_dma,memory,0,4,0,1,0,0,
mem_invalid_read,memory,0,4,0,1,0,0,
mem_write_reject,memory,0,4,0,1,0,0,
mem_invalid_bank_present,memory,0,4,0,1,0,0,
mem_wake_apply,memory,1,4,1,1,95,95,uvm_power_sleep_resume_test
